Jimmy,410.19,43,30,58.90%
Shrinath,349.25,17,15,53.13%
Taylor,324.58,8,6,57.14%
Thomas,316.4,12,13,48.00%
Amie,313.36,2,1,66.67%
Johnny,312.11,1,0,100.00%
Frank,310.28,1,0,100.00%
Leia,307.76,2,3,40.00%
Sangyop,301.2,1,1,50.00%
Freddy,301.09,0,1,0.00%
Alex,293.66,1,2,33.33%
ThuyMi,289.72,0,1,0.00%
Tai,287.89,0,1,0.00%
Nicolette,285.48,6,8,42.86%
Brittney,283.87,14,20,41.18%
Jordan,275.45,1,3,25.00%
Emily,274.91,0,2,0.00%
Ashley,243.54,34,43,44.16%
Jessica,225.43,22,28,44.00%
